Acinetobacter_baumannii	Acinetobacter_indicus	Acinetobacter_nosocomialis	Acinetobacter_pittii	Acinetobacter_seifertii
['0']	[]	[]	[]	[]
['1']	[]	[]	[]	[]
['2']	[]	[]	[]	[]
['3']	[]	[]	[]	[]
['4']	[]	[]	[]	[]
['5']	[]	['93']	['40']	[]
['6']	[]	[]	[]	[]
['7']	[]	['120']	['100']	['83']
['8']	[]	[]	[]	[]
['9']	[]	[]	[]	[]
['10']	[]	[]	['10']	[]
['11']	[]	[]	[]	[]
['12']	[]	[]	[]	[]
['13']	[]	[]	[]	[]
['14']	[]	['113']	['122']	[]
['15']	[]	[]	[]	[]
['16']	[]	[]	[]	[]
['17']	[]	[]	[]	[]
['18', '220']	['27', '61']	['60']	['130']	['2']
['19']	[]	[]	[]	[]
['20']	[]	[]	[]	[]
['21']	[]	[]	[]	[]
['22']	[]	['165']	['109']	['60']
['310', '23']	[]	[]	[]	['64']
['24']	[]	[]	[]	[]
['25']	[]	[]	[]	[]
['26']	[]	[]	[]	[]
['27']	[]	[]	[]	[]
['28']	[]	[]	['98']	['62', '103']
['29']	[]	[]	[]	[]
['30']	[]	[]	[]	[]
['31']	[]	[]	[]	[]
['32']	[]	[]	[]	[]
['33']	[]	[]	[]	[]
['34']	[]	[]	['150']	['52']
['35']	[]	[]	[]	[]
['36']	[]	[]	[]	[]
['37']	[]	['138']	['30']	['66']
['38']	[]	[]	[]	[]
['39']	[]	[]	[]	[]
['40']	[]	[]	[]	[]
['41']	[]	[]	[]	[]
['42']	[]	[]	[]	[]
['43']	[]	[]	[]	[]
['44']	[]	['64']	['117']	['3']
['45']	[]	[]	[]	[]
['46']	[]	[]	[]	[]
['47']	[]	[]	[]	[]
['48']	[]	['157']	['154']	['121']
['49']	[]	['56']	['94']	[]
['50']	[]	['112']	['113']	['38']
['51']	[]	[]	[]	[]
['52']	[]	[]	[]	[]
['53']	[]	[]	[]	[]
['54']	[]	[]	['179']	[]
['55']	[]	[]	[]	[]
['56']	[]	[]	[]	[]
['57']	[]	[]	[]	['6']
['58', '240']	[]	['81']	['85']	['89']
['59']	[]	[]	[]	[]
['60']	[]	[]	[]	[]
['61']	[]	[]	[]	[]
['62']	[]	[]	[]	[]
['63']	[]	[]	[]	[]
['64']	[]	[]	[]	[]
['65']	[]	[]	[]	[]
['66']	[]	['130']	['8']	[]
['67']	[]	['123']	['82']	['16']
['68']	[]	[]	[]	[]
['69']	[]	[]	[]	[]
['70']	[]	[]	[]	[]
['71']	[]	[]	['156', '79']	['68']
['72']	[]	[]	[]	[]
['73']	[]	[]	['72']	[]
['74']	[]	[]	[]	[]
['75']	[]	[]	[]	[]
['76']	[]	['89']	[]	['74']
['77']	[]	[]	[]	[]
['78']	[]	[]	[]	[]
['79']	[]	[]	[]	[]
['80']	[]	[]	[]	['20']
