duplicatas_or_triplicatas
pangenome:Acinetobacter_baumannii spot:58 dupli:['ABAYE_RS01530'] tripli:[] borders:['C6W84_03105', 'D8O08_002375', 'BKJ37_RS00990', 'ABAYE_RS01530', 'ABAYE_RS01530', 'TE32_RS00975']
pangenome:Acinetobacter_baumannii spot:61 dupli:['HYI42_02810', 'M3Q_RS13690'] tripli:[] borders:['HYI42_02810', 'HYI42_02810', 'BJAB07104_RS07285', 'IX88_RS13675', 'M3Q_RS13690', 'M3Q_RS13690']
pangenome:Acinetobacter_baumannii spot:62 dupli:['AM435_RS06310'] tripli:[] borders:['C7R87_RS05100', 'AUO97_RS13585', 'FDB76_07160', 'AM435_RS06310', 'AM435_RS06310', 'C6W84_10395']
pangenome:Acinetobacter_baumannii spot:63 dupli:['H0N27_RS07080'] tripli:[] borders:['H0N27_RS07080', 'H0N27_RS07080', 'AM462_RS02995', 'C6W84_11420', 'ABTW07_2444', 'Aba3207_RS12545']
pangenome:Acinetobacter_baumannii spot:74 dupli:['H1I68_RS09455'] tripli:[] borders:['DKE39_011980', 'ABTW07_2059', 'IOMTU433_RS09170', 'H1I68_RS09455', 'H1I68_RS09455', 'AYR69_RS08735']
pangenome:Acinetobacter_baumannii spot:127 dupli:['AUO97_RS07125'] tripli:[] borders:['AUO97_RS07125', 'AUO97_RS07125', 'CUC60_006580', 'C6W84_16090', 'AYP_RS13895', 'D8O08_006175']
pangenome:Acinetobacter_baumannii spot:138 dupli:['ABZJ_RS00540'] tripli:[] borders:['ABA1_RS13390', 'ABTJ_RS05340', 'ABZJ_RS00540', 'MFABIIPG_RS05180', 'AB57_RS14445', 'ABZJ_RS00540']
pangenome:Acinetobacter_baumannii spot:151 dupli:['ACICU_RS11435'] tripli:[] borders:['ACICU_RS11435', 'ACICU_RS11435', 'AB57_RS12285', 'CBL15_RS06930', 'EQH48_RS11540', 'D8O08_013570']
pangenome:Acinetobacter_baumannii spot:307 dupli:['E4664_RS20190'] tripli:[] borders:['ACX61_RS13945', 'ACICU_RS05095', 'AB57_RS05615', 'E4664_RS20190', 'E4664_RS20190', 'FR761_RS20250']
pangenome:Acinetobacter_baumannii spot:310 dupli:[] tripli:['AOT18_RS11305'] borders:['AOT18_RS11305', 'AOT18_RS11305', 'Aba9201_RS06210', 'AOT18_RS11305', 'D8O08_009390', 'ACICU_RS07130']
pangenome:Acinetobacter_baumannii spot:357 dupli:['EQH48_RS00005'] tripli:[] borders:['DKE39_019145', 'ABTW07_0014', 'AZE33_RS20090', 'EQH48_RS00005', 'EQH48_RS00005', 'BJAB0715_RS00090']
pangenome:Acinetobacter_indicus spot:22 dupli:['FSC02_RS04065'] tripli:[] borders:['FSC02_RS04065', 'CTZ23_RS10775', 'CTZ23_RS10770', 'FSC02_RS04065', 'GA721_RS10245', 'FSC17_03095']
pangenome:Acinetobacter_seifertii spot:7 dupli:['IC794_16275'] tripli:[] borders:['IC794_16275', 'IC794_16270', 'IC767_RS15785', 'IC794_16275', 'IC793_14725', 'IC764_RS15755']
pangenome:Acinetobacter_seifertii spot:78 dupli:['IC767_RS20415'] tripli:[] borders:['IC770_19985', 'IC765_18730', 'IC780_RS20860', 'IC767_RS20415', 'IC767_RS20415', 'IC774_21350']
pangenome:Acinetobacter_seifertii spot:135 dupli:['IC773_RS05100'] tripli:[] borders:['IC797_13340', 'IC779_RS05140', 'IC784_12670', 'IC775_05110', 'IC773_RS05100', 'IC773_RS05100']
