PUL_ID,PubMed,Characterization_Method,Genomic_Accession,Nucleotide_Position_Range,Substrate,Loci,Species,Degradation_or_Biosynthesis
PUL0001,30796211,"RNA-seq,substrate binding assay,enzyme activity assay,mass spectrometry",NZ_GG692714.1,-,beta-mannan,ROSINTL182_05469-ROSINTL182_05483,Roseburia intestinalis/166486,degradation
PUL0002,8606172,"enzyme activity assay,Northern Blot",D83026.1,-,beta-glucan,licTS,Bacillus subtilis/1423,degradation
PUL0003,26559526,RT-PCR,NC_000964,-,xylan,xynCD,Bacillus subtilis/1423,degradation
PUL0004,26827771,"enzyme activity assay,substrate binding assay",KM624528.1,-,beta-glucan,"glu1392,glu1923",uncultured bacterium/77133,degradation
PUL0005,26886583,"enzyme activity assay,crystallization",NC_003212,-,beta-glucan,LIN_RS09480-LIN_RS09485,Listeria innocua/1642,degradation
PUL0006,24637762,enzyme activity assay,KF840174.1,-,galactan,gan1D-ganR2-gan4c-AHL67643.1-ganP-galS-galT2-galE2-galF2-galG2-frk,Geobacillus stearothermophilus/1422,degradation
PUL0007,27274361,sequence homology analysis,LN890332.1,-,galactan,LEKG_1953-LEKG_1960,Leuconostoc gelidum/1244,degradation
PUL0008,25841008,"enzyme activity assay,qPCR,thin-layer chromatography,substrate binding assay",NC_004663.1,-,fructan,BT_RS08890-BT_RS08945,Bacteroides thetaiotaomicron/818,degradation
PUL0009,28432302,"enzyme activity assay,immunoblotting,ATPase assay",NC_013515.1,-,glycosaminoglycan,SMON_RS00575-SMON_RS00640,Streptobacillus moniliformis/34105,degradation
PUL0010,28616644,"enzyme activity assay,liquid chromatography and mass spectrometry",NC_009328.1,-,xylan,GTNG_RS09195-GTNG_RS09405,Geobacillus thermodenitrificans/33940,degradation
PUL0011,-,-,-,-,-,-,-,-
PUL0012,28683122,enzyme activity assay,NC_002505.1,-,chitin,VC_RS03095-VC_RS03145,Vibrio cholerae/666,degradation
PUL0013,-,-,-,-,-,-,-,-
PUL0014,28900693,"sequence homology analysis,growth assay",NZ_CP020030.1,-,pectin,GTHT12_RS10165-GTHT12_RS10205,Geobacillus thermodenitrificans/33940,degradation
PUL0015,28970222,microarray,NC_009004.1,-,cellobiose,LLMG_RS06265-LLMG_RS06290,Lactococcus lactis/1358,degradation
PUL0016,28970222,microarray,NC_009004.1,-,cellobiose,LLMG_RS02225-LLMG_RS02245,Lactococcus lactis/1358,degradation
PUL0017,29093754,"qRT-PCR,Western Blot,isothermal titration calorimetry (ITC)",NC_011898.1,-,cellobiose,CCEL_RS10665-CCEL_RS10705,Ruminiclostridium cellulolyticum/1521,degradation
PUL0018,22311922,"rapid plate method growth assay,gene deletion mutant and growth assay,RT-PCR,enzyme activity assay",NC_003098.1,-,glycosaminoglycan,SPR_RS01490_SPR_RS01555,Streptococcus pneumoniae/1313,degradation
PUL0019,8990303,"enzyme activity assay,Northern Blot",Z49992,-,beta-glucan,licRBCAH,Bacillus subtilis/1423,degradation
PUL0020,30006634,"rapid plate method growth assay,adhesion assay",NC_013199.1,-,glycosaminoglycan,LC705_RS12690-LC705_RS12765,Lactobacillus rhamnosus/47715,degradation
PUL0021,30006634,"rapid plate method growth assay,adhesion assay",NC_008526.1,-,glycosaminoglycan,LSEI_2661-LSEI_2676,Lactobacillus casei/1582,degradation
PUL0022,30519284,"RT-PCR,gene deletion mutant and growth assay,enzyme activity assay",NC_016023.1,-,cellobiose,BCOA_RS20690-BCOA_RS20715,Bacillus coagulans/1398,degradation
