=== PUL0003 ===
  NP_389697.1     | CAZyme             | GH30
  NP_389698.1     | CAZyme             | GH43
=== PUL0010 ===
  WP_011887509.1  | Sugar_metabolism   | xylulokinase [Geobacillus thermodenitrificans]
  WP_008880082.1  | Sugar_metabolism   | MULTISPECIES: xylose isomerase [Geobacillus]
  WP_008880081.1  | CAZyme             | GH43
  WP_008880080.1  | Sulfatase          | S1_8
  WP_008880079.1  | Operon/Regulon     | Nif3-like dinuclear metal center hexameric protein [Geobacillus thermodenitrificans]
  WP_008880078.1  | CAZyme             | GH10
  WP_008880077.1  | Transporter        | 9.B.28.1.5
  WP_011887510.1  | Oxidoreductases    | MULTISPECIES: SDR family oxidoreductase [Geobacillus]
  WP_008880075.1  | Sugar_metabolism   | mannonate dehydratase [Geobacillus thermodenitrificans]
  WP_008880074.1  | Sugar_metabolism   | glucuronate isomerase [Geobacillus thermodenitrificans]
  WP_011887511.1  | TF                 | GntR
  WP_008880072.1  | Sulfatase          | S1_27
  WP_008880071.1  | STP                | PfkB
  WP_008880070.1  | CAZyme             | GH39
  WP_011887512.1  | CAZyme             | GH67
  WP_011887513.1  | Transporter        | 3.A.1.1.9
  WP_011887514.1  | Transporter        | 3.A.1.1.9
  WP_011887515.1  | STP                | SBP_bac_1
  WP_081157505.1  | CAZyme             | GH10
  WP_011887517.1  | CAZyme             | GH52
  WP_008880061.1  | CAZyme             | CE4
  WP_008880060.1  | Sulfatase          | S1_4
  WP_008880059.1  | Transporter        | 3.A.1.1.41
  WP_008880058.1  | Transporter        | 3.A.1.1.57
  WP_008880057.1  | STP                | SBP_bac_1
  WP_008880056.1  | TF                 | HTH_AraC
  WP_008880055.1  | STP                | dCache_1
  WP_008880054.1  | Hypothetical       | hypothetical protein [Geobacillus thermodenitrificans]
  -               | Unknown            | 
  WP_011887518.1  | Oxidoreductases    | sn-glycerol-1-phosphate dehydrogenase [Geobacillus thermodenitrificans]
  WP_011887519.1  | Hydrolases         | MULTISPECIES: HAD-IIA family hydrolase [Geobacillus]
  WP_011887520.1  | CAZyme             | GH179
  WP_011887521.1  | CAZyme             | GH51
  WP_008880047.1  | Transporter        | 3.A.1.1.34
  WP_011887522.1  | Transporter        | 3.A.1.1.34
  WP_008880045.1  | STP                | SBP_bac_1
  WP_011887523.1  | General_metabolism | L-arabinose isomerase [Geobacillus thermodenitrificans]
  WP_011887524.1  | Sugar_metabolism   | ribulokinase [Geobacillus thermodenitrificans]
  WP_011887525.1  | General_metabolism | MULTISPECIES: L-ribulose-5-phosphate 4-epimerase [Geobacillus]
  WP_011887526.1  | TF                 | GntR
  WP_011887527.1  | Transporter        | 3.A.1.2.32
  WP_011887528.1  | Transporter        | 3.A.1.2.32
  WP_008880038.1  | Transporter        | 3.A.1.2.32
=== PUL0078 ===
  AAB42041.1      | Transporter        | 3.A.1.1.25
  AAB42042.1      | Transporter        | 3.A.1.1.41
  AAB42043.1      | TF                 | MarR
  AAB42044.1      | CAZyme             | CBM22
  AAB42045.1      | Other              | ORF5 [Caldicellulosiruptor sp. Rt8B.4]
  AAB42046.1      | Other              | ORF6; partial [Caldicellulosiruptor sp. Rt8B.4]
=== PUL0140 ===
  AYN23376.1      | Sugar_metabolism   | xylose isomerase [Bifidobacterium animalis subsp. animalis]
  AYN23377.1      | CAZyme             | GH43
