system number	system name	functional unit name	subsystem number	gene family	partition	annotation	secondary_names	gene.ID	gene.name	contig	start	stop	strand	is_fragment	category	genomic organization	completeness	product	overlapping_units
1	SusCD_model	PUL	1	GCA_000273195.1_CDS_2836	persistent	CarbopepD_reg_2		GCA_022713605.1_CDS_0178		JAIHUB010000039.1	11010	14258	+	False	model	split	0.77		68:0.5
1	SusCD_model	PUL	1	GCA_000273195.1_CDS_2837	persistent	SusD-like_3		GCA_022713605.1_CDS_0179		JAIHUB010000039.1	14284	16191	+	False	model	split	0.77		68:0.5
1	SusCD_model	PUL	1	GCA_024791005.1_CDS_3249	shell			GCA_022713605.1_CDS_0180		JAIHUB010000039.1	16237	18084	+	False	context	split	0.77		68:0.5
1	SusCD_model	PUL	5	GCA_000273195.1_CDS_6051	shell			GCA_022713605.1_CDS_4512		JAIHUB010000026.1	23666	24751	-	False	context	split	0.77		
1	SusCD_model	PUL	5	GCA_000273195.1_CDS_6052	shell	SusD-like_2		GCA_022713605.1_CDS_4513		JAIHUB010000026.1	24842	26464	-	False	model	split	0.77		
1	SusCD_model	PUL	5	GCA_000273195.1_CDS_6053	shell	STN		GCA_022713605.1_CDS_4514		JAIHUB010000026.1	26476	29802	-	False	model	split	0.77		
1	SusCD_model	PUL	2	GCA_034126185.1_CDS_1257	persistent			GCA_022713605.1_CDS_3560		JAIHUB010000013.1	27847	28527	-	False	context	split	0.77		
1	SusCD_model	PUL	2	GCA_000273195.1_CDS_3512	persistent	CarbopepD_reg_2		GCA_022713605.1_CDS_3561		JAIHUB010000013.1	28664	31510	-	False	model	split	0.77		
1	SusCD_model	PUL	5	GCA_000273195.1_CDS_6054	shell			GCA_022713605.1_CDS_4515		JAIHUB010000026.1	30040	31110	+	False	filtered	split	0.77		
1	SusCD_model	PUL	2	GCA_000273195.1_CDS_3514	shell			GCA_022713605.1_CDS_3562		JAIHUB010000013.1	31534	32892	-	False	context	split	0.77		
1	SusCD_model	PUL	2	GCA_000273195.1_CDS_3513	shell			GCA_022713605.1_CDS_3563		JAIHUB010000013.1	32921	34174	-	False	filtered	split	0.77		
1	SusCD_model	PUL	2	GCA_000273195.1_CDS_3512	persistent	CarbopepD_reg_2		GCA_022713605.1_CDS_3564		JAIHUB010000013.1	34471	37317	-	False	model	split	0.77		
1	SusCD_model	PUL	2	GCA_000273195.1_CDS_3511	shell			GCA_022713605.1_CDS_3565		JAIHUB010000013.1	37357	38757	-	False	context	split	0.77		
1	SusCD_model	PUL	1	GCA_024789885.1_CDS_3613	persistent			GCA_022713605.1_CDS_0177		JAIHUB010000039.1	9953	10654	-	False	filtered	split	0.77		68:0.5
3	SusCD_model	PUL	2	GCA_000699685.1_CDS_0411	shell			GCA_022713605.1_CDS_0792		JAIHUB010000057.1	10754	10873	+	False	filtered	split	0.88		
3	SusCD_model	PUL	3	GCA_000273195.1_CDS_0814	shell			GCA_022713605.1_CDS_1405		JAIHUB010000083.1	16011	17150	-	False	context	split	0.88		24:0.8|10:0.67|5:0.57|75:0.5
3	SusCD_model	PUL	3	GCA_000273195.1_CDS_0813	persistent	SusD-like_3		GCA_022713605.1_CDS_1406		JAIHUB010000083.1	17178	18728	-	False	model	split	0.88		24:0.8|10:0.67|5:0.57|75:0.5
3	SusCD_model	PUL	3	GCA_003463955.1_CDS_2027	persistent	STN		GCA_022713605.1_CDS_1407		JAIHUB010000083.1	18746	21550	-	False	model	split	0.88		24:0.8|10:0.67|5:0.57|75:0.5
3	SusCD_model	PUL	3	GCA_000273195.1_CDS_6258	shell			GCA_022713605.1_CDS_1408		JAIHUB010000083.1	21868	22059	-	False	context	split	0.88		24:0.8|10:0.67|5:0.57|75:0.5
3	SusCD_model	PUL	3	GCA_000273195.1_CDS_6257	shell			GCA_022713605.1_CDS_1409		JAIHUB010000083.1	22177	23412	-	False	context	split	0.88		24:0.8|10:0.67|5:0.57|75:0.5
3	SusCD_model	PUL	1	GCA_963560205.1_CDS_1251	persistent	CarbopepD_reg_2		GCA_022713605.1_CDS_4164		JAIHUB010000021.1	286	3417	+	False	model	split	0.88		12:0.5
3	SusCD_model	PUL	4	GCA_000436435.1_CDS_2762	shell	STN		GCA_022713605.1_CDS_2449		JAIHUB010000130.1	32	3358	+	False	model	split	0.88		24:0.8|10:0.67|5:0.57
3	SusCD_model	PUL	4	GCA_000273195.1_CDS_0810	shell	SusD-like_2		GCA_022713605.1_CDS_2450		JAIHUB010000130.1	3377	4954	+	False	model	split	0.88		24:0.8|10:0.67|5:0.57
3	SusCD_model	PUL	1	GCA_003435255.1_CDS_3114	persistent	SusD-like_3		GCA_022713605.1_CDS_4165		JAIHUB010000021.1	3442	5523	+	False	model	split	0.88		12:0.5
3	SusCD_model	PUL	4	GCF_028400995.1_CDS_5531	shell			GCA_022713605.1_CDS_2451		JAIHUB010000130.1	4987	6051	+	False	context	split	0.88		24:0.8|10:0.67|5:0.57
3	SusCD_model	PUL	1	GCA_000273195.1_CDS_2799	persistent			GCA_022713605.1_CDS_4166		JAIHUB010000021.1	5625	5990	-	True	context	split	0.88		12:0.5
3	SusCD_model	PUL	2	GCA_024787785.1_CDS_6905	persistent			GCA_022713605.1_CDS_0790		JAIHUB010000057.1	6609	7841	-	False	filtered	split	0.88		
3	SusCD_model	PUL	2	GCA_000273195.1_CDS_4177	persistent	Plug		GCA_022713605.1_CDS_0791		JAIHUB010000057.1	7846	10683	-	False	model	split	0.88		
4	SusCD_model	PUL	2	GCA_000273195.1_CDS_5787	shell			GCA_022713605.1_CDS_3019		JAIHUB010000009.1	15890	16279	-	False	filtered	split	0.75		139:0.67|27:0.4
4	SusCD_model	PUL	2	GCA_000273195.1_CDS_5788	shell	CarbopepD_reg_2		GCA_022713605.1_CDS_3020		JAIHUB010000009.1	16611	19697	+	False	model	split	0.75		139:0.67|27:0.4
4	SusCD_model	PUL	2	GCA_000273195.1_CDS_5789	shell	SusD-like_3		GCA_022713605.1_CDS_3021		JAIHUB010000009.1	19749	21551	+	False	model	split	0.75		139:0.67|27:0.4
4	SusCD_model	PUL	2	GCA_003602825.1_CDS_2862	shell			GCA_022713605.1_CDS_3022		JAIHUB010000009.1	21796	22281	+	False	context	split	0.75		139:0.67|27:0.4
6	SusCD_model	PUL	2	GCF_013361245.1_CDS_4393	shell			GCA_022713605.1_CDS_2790		JAIHUB010000147.1	13399	14571	-	False	context	split	1.0		21:0.8|29:0.8|1:0.77|8:0.67|102:0.5|110:0.5
6	SusCD_model	PUL	2	GCA_000699685.1_CDS_3914	shell			GCA_022713605.1_CDS_2785		JAIHUB010000147.1	2447	3019	-	False	context	split	1.0		8:0.67|7:0.57|11:0.33
6	SusCD_model	PUL	2	GCA_000699685.1_CDS_3913	shell	SusD-like_3		GCA_022713605.1_CDS_2786		JAIHUB010000147.1	3248	4801	-	False	model	split	1.0		8:0.67|7:0.57|11:0.33
6	SusCD_model	PUL	1	GCA_000273195.1_CDS_4669	shell			GCA_022713605.1_CDS_3197		JAIHUB010000010.1	3288	4295	+	False	context	split	1.0		
6	SusCD_model	PUL	3	GCA_000436435.1_CDS_0291	shell	SusD-like		GCA_022713605.1_CDS_3908		JAIHUB010000017.1	3541	4995	+	False	model	split	1.0		21:0.8|29:0.8|1:0.77|161:0.67|7:0.57|76:0.5
6	SusCD_model	PUL	3	GCA_019013265.1_CDS_4636	shell	Plug		GCA_022713605.1_CDS_3907		JAIHUB010000017.1	405	3521	+	False	model	split	1.0		21:0.8|29:0.8|1:0.77|161:0.67|7:0.57|76:0.5
6	SusCD_model	PUL	1	GCA_000273195.1_CDS_4668	shell	CarbopepD_reg_2		GCA_022713605.1_CDS_3198		JAIHUB010000010.1	4295	6535	+	False	model	split	1.0		
6	SusCD_model	PUL	2	GCA_003602825.1_CDS_1148	shell	TonB_dep_Rec		GCA_022713605.1_CDS_2787		JAIHUB010000147.1	4818	7769	-	False	model	split	1.0		21:0.8|29:0.8|1:0.77|8:0.67|7:0.57|102:0.5|110:0.5|11:0.33
6	SusCD_model	PUL	3	GCA_000699685.1_CDS_3905	persistent			GCA_022713605.1_CDS_3909		JAIHUB010000017.1	5098	6360	+	False	context	split	1.0		21:0.8|29:0.8|1:0.77|161:0.67|7:0.57|76:0.5
6	SusCD_model	PUL	1	GCA_000436435.1_CDS_0015	persistent			GCA_022713605.1_CDS_3199		JAIHUB010000010.1	6615	7202	+	False	context	split	1.0		
6	SusCD_model	PUL	2	GCA_000273195.1_CDS_5760	shell	SusD_RagB		GCA_022713605.1_CDS_2788		JAIHUB010000147.1	8261	9673	-	False	model	split	1.0		21:0.8|29:0.8|1:0.77|8:0.67|7:0.57|102:0.5|110:0.5|11:0.33
6	SusCD_model	PUL	2	GCF_003472965.1_CDS_2648	shell	CarbopepD_reg_2		GCA_022713605.1_CDS_2789		JAIHUB010000147.1	9694	12636	-	False	model	split	1.0		21:0.8|29:0.8|1:0.77|8:0.67|102:0.5|110:0.5
9	SusCD_model	PUL	2	GCA_000273195.1_CDS_4516	shell	Plug		GCA_022713605.1_CDS_5009		JAIHUB010000036.1	11559	14735	-	False	model	split	1.0		167:0.67
9	SusCD_model	PUL	1	GCA_000273195.1_CDS_0447	persistent			GCA_022713605.1_CDS_1270		JAIHUB010000077.1	12041	13480	-	False	context	split	1.0		
9	SusCD_model	PUL	1	GCA_000273195.1_CDS_0446	persistent	SusD-like_3		GCA_022713605.1_CDS_1271		JAIHUB010000077.1	13554	15368	-	False	model	split	1.0		
9	SusCD_model	PUL	2	GCA_000273195.1_CDS_4517	persistent			GCA_022713605.1_CDS_5010		JAIHUB010000036.1	15169	18276	+	False	filtered	split	1.0		167:0.67
9	SusCD_model	PUL	1	GCF_015551835.1_CDS_5144	persistent	STN		GCA_022713605.1_CDS_1272		JAIHUB010000077.1	15397	18786	-	False	model	split	1.0		
9	SusCD_model	PUL	1	GCA_024791665.1_CDS_2467	persistent			GCA_022713605.1_CDS_1273		JAIHUB010000077.1	18914	19942	-	False	context	split	1.0		
9	SusCD_model	PUL	2	GCA_024788605.1_CDS_2257	persistent			GCA_022713605.1_CDS_5005		JAIHUB010000036.1	4715	5191	+	False	context	split	1.0		
