system number	system name	functional unit name	subsystem number	gene family	partition	annotation	secondary_names	gene.ID	gene.name	contig	start	stop	strand	is_fragment	category	genomic organization	completeness	product	overlapping_units
1	SusCD_model	PUL	4	GCA_034126185.1_CDS_1257	persistent			GCA_034123215.1_CDS_3948		JAWYDC010000045.1	110618	111298	-	False	context	split	0.62		
1	SusCD_model	PUL	4	GCA_000273195.1_CDS_3512	persistent	CarbopepD_reg_2		GCA_034123215.1_CDS_3949		JAWYDC010000045.1	111435	114281	-	False	model	split	0.62		
1	SusCD_model	PUL	4	GCA_000273195.1_CDS_3514	shell			GCA_034123215.1_CDS_3950		JAWYDC010000045.1	114305	115663	-	False	context	split	0.62		
1	SusCD_model	PUL	4	GCA_000273195.1_CDS_3513	shell			GCA_034123215.1_CDS_3951		JAWYDC010000045.1	115692	116945	-	False	filtered	split	0.62		
1	SusCD_model	PUL	4	GCA_000273195.1_CDS_3512	persistent	CarbopepD_reg_2		GCA_034123215.1_CDS_3952		JAWYDC010000045.1	117243	120089	-	False	model	split	0.62		
1	SusCD_model	PUL	4	GCA_000273195.1_CDS_3511	shell			GCA_034123215.1_CDS_3953		JAWYDC010000045.1	120129	121529	-	False	context	split	0.62		
1	SusCD_model	PUL	1	GCA_024789885.1_CDS_3613	persistent			GCA_034123215.1_CDS_2355		JAWYDC010000026.1	84857	85651	-	False	filtered	split	0.62		68:0.5
1	SusCD_model	PUL	1	GCA_000273195.1_CDS_2836	persistent	CarbopepD_reg_2		GCA_034123215.1_CDS_2356		JAWYDC010000026.1	86007	89255	+	False	model	split	0.62		68:0.5
1	SusCD_model	PUL	1	GCA_000273195.1_CDS_2837	persistent	SusD-like_3		GCA_034123215.1_CDS_2357		JAWYDC010000026.1	89281	91188	+	False	model	split	0.62		68:0.5
1	SusCD_model	PUL	1	GCA_024791005.1_CDS_3249	shell			GCA_034123215.1_CDS_2358		JAWYDC010000026.1	91207	93081	+	False	context	split	0.62		68:0.5
3	SusCD_model	PUL	2	GCA_000436435.1_CDS_1273	shell			GCA_034123215.1_CDS_0936		JAWYDC010000009.1	110292	110432	-	False	context	split	0.88		
3	SusCD_model	PUL	2	GCA_000273195.1_CDS_4177	persistent	Plug		GCA_034123215.1_CDS_0937		JAWYDC010000009.1	110503	113340	+	False	model	split	0.88		
3	SusCD_model	PUL	2	GCA_024787785.1_CDS_6905	persistent			GCA_034123215.1_CDS_0938		JAWYDC010000009.1	113345	114577	+	False	filtered	split	0.88		
4	SusCD_model	PUL	2	GCA_024789885.1_CDS_2079	persistent			GCA_034123215.1_CDS_3423		JAWYDC010000037.1	453712	454686	+	False	context	split	1.0		26:0.8|40:0.8
