CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Gene Strand	Gene Annotation
CGC1	CAZyme	NC_004663.1	WP_055229046.1	133697	135616	+	CAZyme|GH146_e0
CGC1	TF	NC_004663.1	WP_162303145.1	135802	138585	+	TF|0035607+STP|Y_Y_Y+STP|HTH_18
CGC2	CAZyme	NC_004663.1	WP_225011857.1	293200	294711	+	CAZyme|PL27_e0
CGC2	CAZyme	NC_004663.1	WP_008766191.1	294837	296585	-	CAZyme|GH43_24|CBM32_e51
CGC2	CAZyme	NC_004663.1	WP_008766190.1	296627	298108	-	CAZyme|GH43_24+SULFATLAS|S1_6
CGC2	null	NC_004663.1	WP_008766189.1	298121	299581	-	null
CGC2	TC	NC_004663.1	WP_172461657.1	299930	303976	+	TC|9.B.238.3.1+TF|HTH_AraC+STP|Y_Y_Y+STP|HisKA+STP|HATPase_c+STP|Response_reg+STP|HTH_18
CGC3	TC	NC_004663.1	WP_011107220.1	446387	450649	-	TC|9.B.238.3.1+TF|HTH_AraC+STP|Reg_prop+STP|Y_Y_Y+STP|HisKA+STP|HATPase_c+STP|Response_reg+STP|HTH_18
CGC3	CAZyme	NC_004663.1	WP_011107221.1	450805	452346	+	CAZyme|GH43_4
CGC3	CAZyme	NC_004663.1	WP_011107222.1	452372	454354	+	CAZyme|GH51_2
CGC3	CAZyme	NC_004663.1	WP_172461659.1	454377	455321	+	CAZyme|GH43_29
CGC4	TF	NC_004663.1	WP_008761359.1	846392	847066	-	TF|Trans_reg_C+STP|Response_reg+STP|Trans_reg_C
CGC4	CAZyme	NC_004663.1	WP_008765565.1	847186	849201	+	CAZyme|GH97_e10
CGC5	CAZyme	NC_004663.1	WP_008765768.1	1195838	1198933	-	CAZyme|PL29_e7
CGC5	CAZyme	NC_004663.1	WP_008765769.1	1199001	1200683	-	CAZyme|PL1_2
CGC5	TC	NC_004663.1	WP_008765770.1	1200747	1205165	-	TC|9.B.238.3.7+TF|HTH_AraC+STP|Y_Y_Y+STP|HisKA+STP|HATPase_c+STP|Response_reg+STP|HTH_18
CGC5	null	NC_004663.1	WP_008765771.1	1205423	1205674	-	null
