Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
KQP59_RS00570	QDH55444.1|CE20	78.5	410	87	1	31	439	475	884	4.56e-239	681
KQP59_RS00575	UVQ58913.1|CE20	45.7	405	218	2	24	427	378	781	2.68e-126	404
KQP59_RS02245	UYU47498.1|GH105	60.4	265	105	0	24	288	394	658	1.27e-112	344
KQP59_RS02285	BDF71684.1|CBM50	56.2	329	143	1	36	363	36	364	1.98e-114	345
KQP59_RS02340	EFI06551.1|PL33_1	100	644	0	0	1	644	1	644	0.0	1329
KQP59_RS02360	UYU76619.1|GH18	100	385	0	0	1	385	1	385	1.54e-292	795
KQP59_RS02415	QUT70077.1|GH84	100	737	0	0	1	737	1	737	0.0	1499
KQP59_RS02420	QUT70076.1|GH20	100	546	0	0	1	546	1	546	0.0	1117
KQP59_RS02440	QJR67531.1|GT35	100	852	0	0	1	852	1	852	0.0	1769
KQP59_RS02510	QUT64612.1|GH182	100	682	0	0	1	682	1	682	0.0	1409
KQP59_RS04190	QUT39612.1|GH32	100	610	0	0	1	610	1	610	0.0	1260
KQP59_RS04195	QUT39613.1|GH32	100	522	0	0	1	522	2	523	0.0	1090
KQP59_RS04210	AST56160.1|GH35	30.8	887	516	25	220	1037	714	1571	1.45e-113	390
KQP59_RS04235	UYU72325.1|GH2	100	1083	0	0	1	1083	1	1083	0.0	2255
KQP59_RS04440	QUT70157.1|GH23	100	326	0	0	1	326	1	326	3.63e-243	665
KQP59_RS06295	QUT72731.1|GH78	100	1152	0	0	1	1152	1	1152	0.0	2321
KQP59_RS06300	QUT72732.1|GH78	100	881	0	0	1	881	1	881	0.0	1834
KQP59_RS06305	QUT72733.1|CE7	100	434	0	0	1	434	19	452	0.0	903
KQP59_RS06420	QUT72755.1|GH16_3	100	268	0	0	1	268	1	268	1.48e-206	567
KQP59_RS06470	CAD7252417.1|GH13	56.3	584	244	7	129	706	341	919	1.83e-192	593
KQP59_RS06660	UVP57839.1|GH92	100	755	0	0	1	755	1	755	0.0	1578
KQP59_RS06680	QUT69577.1|GH99	100	382	0	0	1	382	1	382	5.86e-300	813
KQP59_RS06700	UYU72787.1|GH20	100	661	0	0	1	661	1	661	0.0	1355
KQP59_RS08175	UVP58313.1|GH89	100	736	0	0	1	736	1	736	0.0	1519
KQP59_RS08205	CAG7911095.1|GH5_11	40.0	903	491	18	13	877	589	1478	4.16e-214	653
KQP59_RS09855	QUT43141.1|CBM32|GH35	100	779	0	0	1	779	1	779	0.0	1623
KQP59_RS09990	QUT43118.1|GH43_24	100	493	0	0	1	493	1	493	0.0	1028
KQP59_RS09995	QUT70556.1|GH43_24	100	582	0	0	1	582	1	582	0.0	1186
KQP59_RS12365	QUT40388.1|CBM32	100	478	0	0	1	478	1	478	0.0	926
KQP59_RS12405	QUT72621.1|GH0	100	645	0	0	1	645	1	645	0.0	1327
KQP59_RS12500	UVP56548.1|GH28	100	482	0	0	1	482	1	482	0.0	983
KQP59_RS12755	UVP09956.1|GH16	39.1	542	279	17	13	530	14	528	5.23e-105	335
KQP59_RS12775	ALJ40226.1|GH88	100	406	0	0	1	406	1	406	9.22e-307	832
KQP59_RS12895	QDT68860.1|GH117	42.7	626	302	14	25	606	25	637	1.87e-142	444
KQP59_RS12900	UYU92026.1|GH20	100	655	0	0	1	655	1	655	0.0	1340
KQP59_RS14525	QUT73026.1|GH76	100	515	0	0	1	515	1	515	0.0	1047
KQP59_RS14530	UYU74089.1|GH43_31	99.7	307	1	0	1	307	1	307	3.18e-232	635
KQP59_RS14575	QUT73038.1|GH105	100	369	0	0	1	369	1	369	5.29e-285	774
KQP59_RS14585	AXV50356.1|GH43_3	57.5	362	146	3	25	378	330	691	2.55e-145	432
KQP59_RS14615	QUT40900.1|GH105	100	372	0	0	1	372	1	372	1.17e-294	799
KQP59_RS14625	QUT73049.1|GH89	100	711	0	0	1	711	1	711	0.0	1494
KQP59_RS14630	QUT40903.1|GH115	100	982	0	0	1	982	1	982	0.0	2001
KQP59_RS14645	AQT70232.1|CBM35	42.4	481	240	13	2	471	12	466	7.91e-116	364
KQP59_RS14845	QMW87311.1|GT2	100	247	0	0	1	247	1	247	1.20e-181	503
KQP59_RS14890	QUT42869.1|GT4	100	158	0	0	1	158	1	158	5.07e-112	319
KQP59_RS14930	QUT70527.1|GT1	100	375	0	0	1	375	1	375	1.76e-277	756
KQP59_RS16145	AGL63717.2|GT4	45.5	672	292	9	159	830	107	704	9.45e-173	523
KQP59_RS16225	QUT70243.1|GH97	100	719	0	0	1	719	1	719	0.0	1486
KQP59_RS16250	CCO12112.2|GH13_31	71.6	419	118	1	3	420	4	422	2.66e-212	595
KQP59_RS16280	ALJ42947.1|GT2	100	316	0	0	1	316	1	316	2.73e-233	639
KQP59_RS16530	UYU69879.1|GH29	100	460	0	0	1	460	1	460	0.0	981
KQP59_RS16535	UYU69880.1|GH36	100	693	0	0	1	693	1	693	0.0	1415
KQP59_RS16540	EAR02039.1|GH117	54.1	490	218	4	31	517	26	511	1.11e-183	541
KQP59_RS16550	UYU69883.1|GH76	100	525	0	0	1	525	1	525	0.0	1095
KQP59_RS16585	QQA08100.1|GH92	100	760	0	0	1	760	1	760	0.0	1590
KQP59_RS16595	QZU85555.1|GH76	100	387	0	0	1	387	1	387	1.34e-303	823
KQP59_RS18250	QUT73509.1|GH36	100	729	0	0	1	729	1	729	0.0	1499
KQP59_RS18365	QUT73486.1|GT2	100	633	0	0	1	633	1	633	0.0	1263
KQP59_RS18405	QUT73478.1|GT2	100	311	0	0	1	311	1	311	6.37e-225	617
KQP59_RS18450	BCA52683.1|GT2	100	329	0	0	1	329	1	329	3.10e-241	660
KQP59_RS18455	QUT73468.1|GT4	100	413	0	0	1	413	1	413	3.09e-304	827
KQP59_RS18465	QUT73466.1|GT4	100	413	0	0	1	413	1	413	1.31e-305	830
KQP59_RS18470	QZU86041.1|GT2	100	336	0	0	1	336	1	336	1.09e-249	682
KQP59_RS18475	UYU70247.1|GT0|GT2	100	679	0	0	1	679	1	679	0.0	1412
KQP59_RS18490	UYU70250.1|GT9	100	343	0	0	1	343	1	343	2.05e-253	692
KQP59_RS18565	BCA52660.1|GH88	100	400	0	0	1	400	1	400	8.52e-309	837
KQP59_RS18605	QUT73438.1|GH2	100	1036	0	0	1	1036	1	1036	0.0	2170
KQP59_RS20180	AGL64700.2|GH23	44.1	358	192	2	9	366	6	355	2.85e-103	313
KQP59_RS20200	ALJ43430.1|CE11	100	461	0	0	1	461	1	461	0.0	917
KQP59_RS20295	UYU70591.1|GH28	100	538	0	0	1	538	1	538	0.0	1100
KQP59_RS20305	UYU70593.1|CBM91|GH43_10	100	558	0	0	1	558	1	558	0.0	1197
KQP59_RS20325	QUT42078.1|GH2	100	989	0	0	1	989	1	989	0.0	2029
KQP59_RS20335	QDO67467.1|CE12	51.8	336	157	3	260	591	228	562	1.41e-111	350
KQP59_RS20350	UYU70602.1|GH105	100	465	0	0	1	465	1	465	0.0	954
KQP59_RS20355	ALJ43460.1|PL11_1	100	613	0	0	1	613	1	613	0.0	1293
KQP59_RS20360	QMW86517.1|GH105	100	379	0	0	1	379	1	379	8.96e-298	807
KQP59_RS20365	UYU70605.1|CE12	100	544	0	0	1	544	1	544	0.0	1120
KQP59_RS20370	UYU70606.1|PL26	100	1098	0	0	1	1098	1	1098	0.0	2279
KQP59_RS20485	QUT69845.1|CBM62	100	649	0	0	1	649	1	649	0.0	1356
KQP59_RS20505	ALJ47133.1|GH97	58.3	527	211	4	4	527	5	525	7.45e-218	641
KQP59_RS20520	UYU70635.1|GH28	100	516	0	0	1	516	1	516	0.0	1032
KQP59_RS20530	UYU70637.1|CBM35|GH27	100	527	0	0	1	527	1	527	0.0	1099
KQP59_RS20535	QUT69834.1|GH78	100	590	0	0	1	590	1	590	0.0	1222
KQP59_RS20540	UYU70639.1|GH2	100	961	0	0	1	961	1	961	0.0	2022
KQP59_RS20550	UYU70641.1|GH2	100	802	0	0	1	802	1	802	0.0	1628
KQP59_RS20555	UVP58094.1|PL11_1	100	641	0	0	1	641	1	641	0.0	1338
KQP59_RS20560	UYU70643.1|GH28	100	462	0	0	1	462	1	462	0.0	953
KQP59_RS20565	QDM12561.1|CE12	52.4	307	136	3	17	317	259	561	2.24e-107	329
KQP59_RS20570	UVP58495.1|GH28	100	432	0	0	1	432	1	432	0.0	884
KQP59_RS20575	BCA48690.1|GH42|GH43_18	100	788	0	0	1	788	206	993	0.0	1652
KQP59_RS20580	UYU70646.1|GH2	100	958	0	0	1	958	1	958	0.0	1994
KQP59_RS20585	UVP58089.1|CE12	100	412	0	0	1	412	1	412	1.44e-313	850
KQP59_RS20600	UYU70650.1|GH28	100	467	0	0	1	467	1	467	0.0	964
KQP59_RS20650	AAO79241.1|GH29|3.2.1.51	100	605	0	0	1	605	1	605	0.0	1247
KQP59_RS20670	QMW86484.1|CBM32	100	392	0	0	1	392	1	392	1.00e-287	783
KQP59_RS21200	ALJ43784.1|CBM50|GH23	100	431	0	0	1	431	1	431	0.0	866
KQP59_RS21240	ALB75878.1|GH92	100	761	0	0	1	761	1	761	0.0	1585
KQP59_RS21245	BCA48542.1|GH92	100	756	0	0	1	756	1	756	0.0	1586
KQP59_RS21455	QUT71196.1|GT4	100	387	0	0	1	387	1	387	1.59e-286	780
KQP59_RS21490	QUT71203.1|GT0	100	410	0	0	1	410	1	410	4.53e-300	816
KQP59_RS21500	QAY63367.1|GT2	57.7	284	117	2	1	284	316	596	4.66e-107	328
PO115_RS15300	QMW87526.1|GT2	100	274	0	0	1	274	1	274	3.09e-202	557
PO115_RS15305	AAO75585.1|GT4	100	368	0	0	1	368	1	368	3.40e-276	752
PO115_RS15330	QMW87520.1|GT2	100	313	0	0	1	313	1	313	1.58e-235	644
PO115_RS15340	AAO75578.1|GT0	100	404	0	0	1	404	1	404	5.71e-300	815
PO115_RS15365	QWA11134.1|GT2	48.5	367	173	4	6	370	289	641	1.38e-113	349
PO033_RS21495	QUT39130.1|GT2	100	335	0	0	1	335	1	335	2.98e-242	663
PO033_RS21500	WCR20995.1|GT4	58.2	311	125	1	2	312	4	309	6.91e-121	367
PO033_RS21525	QUT39136.1|GT2	100	324	0	0	1	324	1	324	1.43e-248	678
PO033_RS21530	QUT39137.1|GT4	100	357	0	0	1	357	1	357	2.75e-265	723
PO033_RS21540	QUT39139.1|GT2	100	289	0	0	1	289	1	289	8.95e-214	587
PO033_RS21560	AMJ19575.1|GT9	49.4	350	175	2	6	353	5	354	3.98e-127	374
PO033_RS21570	QUT39145.1|GT4	100	402	0	0	1	402	1	402	7.64e-288	784
PO033_RS11455	QZU80267.1|GT2	99.8	596	1	0	1	596	1	596	0.0	1239
PO035_RS07385	QUT38194.1|GT2	100	314	0	0	1	314	1	314	1.56e-222	612
EXC89_RS11985	UYU60523.1|GH18	100	323	0	0	1	323	1	323	5.79e-243	664
EXC89_RS12275	UVP60296.1|GH147	100	880	0	0	1	880	1	880	0.0	1795
EXC89_RS21135	BCA49229.1|GH73	100	518	0	0	1	518	1	518	0.0	1010
PO116_RS18010	UVR80666.1|GH24	98.7	154	2	0	1	154	1	154	1.21e-108	310
PO116_RS22815	QQA10540.1|GT2	100	252	0	0	1	252	1	252	6.23e-191	526
PO116_RS22830	UVV79425.1|GT2	100	275	0	0	1	275	1	275	5.78e-203	559
