Gene ID	EC#	dbCAN_hmm	dbCAN_sub	DIAMOND	#ofTools	Recommend Results
WP_004351808.1	-	GH73(38-165)	GH73_e88(39-166)	CBM50+GH73	3	GH73_e88
WP_004352200.1	-	-	-	GH13_31	1	-
WP_004352401.1	-	-	-	GT2	1	-
WP_004352778.1	-	-	-	CE4	1	-
WP_004353191.1	-	GT4(237-383)	GT4_e1535(241-384)	GT4	3	GT4_e1535
WP_004353437.1	-	GT2(4-168)	GT2(5-168)	GT2	3	GT2
WP_004353576.1	-	GH33(39-417)	GH33_e126(40-406)	GH33	3	GH33_e126
WP_004354237.1	-	-	-	GH13_11	1	-
WP_004354251.1	-	GH133(286-637)	GH133_e1(289-638)	GH133	3	GH133_e1
WP_004354679.1	-	GH25(38-211)	GH25_e135(38-212)	GH25	3	GH25_e135
WP_013670309.1	-	CE11(6-225)	CE11_e18(7-298)	CE11	3	CE11_e18
WP_013670856.1	3.2.1.3:2|3.2.1.20:2	GH97(13-709)	GH97_e22(16-710)	GH97	3	GH97_e22
WP_013671073.1	-	GH37(27-439)	GH37_e5(31-436)	GH37	3	GH37_e5
WP_013671392.1	-	-	-	GT2	1	-
WP_013671917.1	-	GT119(25-214)+GT119(257-483)	-	GT119	2	GT119|GT119
WP_013671997.1	-	-	-	GT2	1	-
WP_013672091.1	-	GT51(58-239)	GT51_e160(59-240)	GT51	3	GT51_e160
WP_025067044.1	-	CE4(33-129)	CE4_e54(33-110)	-	2	CE4_e54
WP_025067274.1	-	GT51(55-219)	GT51_e158(56-219)	-	2	GT51_e158
WP_029216317.1	-	-	-	GH13_48	1	-
WP_029216393.1	-	CE4(23-133)	CE4_e140(25-132)	CE4	3	CE4_e140
WP_036853468.1	-	GT2(8-174)	GT2(9-174)	GT2	3	GT2
WP_036854312.1	-	-	-	GT2	1	-
WP_036856154.1	-	GT4(242-387)	GT4_e602(244-387)	GT4	3	GT4_e602
WP_036856713.1	-	GH13_44(51-418)	GH13_e54(52-419)	GH13_44	3	GH13_44
WP_036856831.1	-	GT2(30-134)	GT2(31-140)	GT2	3	GT2
WP_036876665.1	-	GH179(23-266)	GH109_e7(29-185)	-	2	GH109_e7
WP_036876783.1	3.2.1.146:1	GH43_3(35-322)	GH43_e310(36-323)	GH43_3	3	GH43_3
WP_118866375.1	-	GT2(5-144)	GT2(6-143)	GT2	3	GT2
WP_118866826.1	-	GH25(67-243)	GH25_e217(68-243)	GH25	3	GH25_e217
WP_211796564.1	-	GH25(42-216)	GH25_e21(43-216)	GH25	3	GH25_e21
WP_211797011.1	-	-	-	GH47	1	-
WP_211797259.1	-	-	-	GH131	1	-
WP_219441669.1	3.2.1.-:8|3.2.1.113:1|3.2.1.114:1|3.2.1.24:1	GH92(223-705)	GH92_e0(223-706)	GH92	3	GH92_e0
WP_219526513.1	-	-	-	GH13_30	1	-
WP_270536753.1	-	CBM32(130-249)	CBM32_e196(129-250)	CBM32	3	CBM32_e196
WP_278535065.1	-	GT122(38-348)	-	GT122	2	GT122
WP_278580844.1	3.2.1.80:10|3.2.1.65:10|3.2.1.26:7|3.2.1.153:5|3.2.1.64:3|2.4.1.99:3	GH32(134-417)	GH32_e16(135-430)	GH32	3	GH32_e16
WP_278580846.1	3.2.1.65:1	GH32(51-350)	GH32_e129(52-351)	GH32	3	GH32_e129
WP_278580855.1	-	-	-	GH35	1	-
WP_278580870.1	-	GH32(27-324)	GH32_e88(28-325)	GH32	3	GH32_e88
WP_278580889.1	-	-	-	GH76	1	-
WP_278580900.1	-	GT2(253-383)	GT2(254-384)	GT2	3	GT2
WP_278580916.1	-	GT4(205-344)	GT4_e2089(206-344)	GT4	3	GT4_e2089
WP_278580930.1	-	-	-	GH39	1	-
WP_278580937.1	-	GT9(75-325)	GT9_e65(75-327)	GT9	3	GT9_e65
WP_278580984.1	-	-	CBM50_e27(291-332)	CBM50	2	CBM50_e27
WP_278580997.1	3.2.1.-:2|3.2.1.68:1|3.2.1.41:1	GH13_14(170-496)	GH13_e95(171-497)	GH13_14	3	GH13_14
WP_278580998.1	2.4.1.25:4|2.4.1.25:4|2.4.1.25:5	GH77(248-892)	CBM20_e2(2-88)+CBM20_e2(133-221)+GH77_e22(249-892)	CBM20+GH77	3	CBM20_e2|CBM20_e2|GH77_e22
WP_278581000.1	-	GH13_6(52-326)	GH13_e218(60-327)	GH13	3	GH13_6
WP_278581022.1	-	GT2(7-174)	GT2(8-175)	GT2	3	GT2
WP_278581069.1	-	GT51(88-274)	GT51_e17(88-274)	GT51	3	GT51_e17
WP_278581111.1	-	-	-	CBM50	1	-
WP_278581112.1	-	GH13_44(49-408)	GH13_e54(50-408)	GH13_44	3	GH13_44
WP_278581124.1	3.2.1.51:58	GH29(24-368)	GH29_e70(27-369)	GH29	3	GH29_e70
WP_278581129.1	3.2.1.22:1	GH97(4-632)	GH97_e1(4-632)	GH97	3	GH97_e1
WP_278581132.1	-	-	-	GH1	1	-
WP_278581181.1	-	-	-	GH23	1	-
WP_278581209.1	-	-	-	GT106	1	-
WP_278581215.1	-	GH57(20-324)	GH57_e10(7-325)	GH57	3	GH57_e10
WP_278581241.1	-|-	CBM32(21-135)+GH92(393-871)	CBM32_e72(24-137)+GH92_e37(394-872)	GH92	3	CBM32_e72|GH92_e37
WP_278581242.1	-	GH92(249-738)	GH92_e6(250-739)	GH92	3	GH92_e6
WP_278581253.1	-	-	-	GT2	1	-
WP_278581264.1	-	GH13_6(60-341)	GH13_e218(62-341)	GH13	3	GH13_6
WP_278581275.1	-	-	CBM50_e800(32-77)	CBM50	2	CBM50_e800
WP_278581294.1	-	-	-	GH1	1	-
WP_278581320.1	-	-	GT2(12-255)	GT2	2	GT2
WP_278581322.1	-	GT4(209-363)	GT4_e3415(212-342)	GT4	3	GT4_e3415
WP_278581324.1	-	GT26(47-215)	GT26_e51(48-215)	GT26	3	GT26_e51
WP_278581337.1	-	-	-	GT4	1	-
WP_278581340.1	-	GT5(10-214)	GT5_e28(2-215)	GT5	3	GT5_e28
WP_278581341.1	-	GH16(34-241)	GH16_e129(37-242)	GH16	3	GH16_e129
WP_278581357.1	-	-	-	GT1	1	-
WP_278581375.1	-|-	CE4(75-177)+GT2(354-579)	CE4_e238(76-181)+GT2(356-580)	CE4+GH18+GT2	3	CE4_e238|GT2
WP_278581390.1	-	GH2(59-903)	GH2_e30(58-904)	GH2	3	GH2_e30
WP_278581409.1	-	-	-	GH28	1	-
WP_278581443.1	-	-	-	GH101	1	-
WP_278581479.1	-	GT2(5-114)	GT2(4-298)	GT2	3	GT2
WP_278581503.1	3.2.1.63:1|3.2.1.51:1	GH29(16-351)	GH29_e63(19-352)	GH29	3	GH29_e63
WP_278581521.1	-	GT117(16-236)	-	-	1	-
WP_278581578.1	-	GT4(210-360)	GT4_e2325(212-360)	GT4	3	GT4_e2325
WP_278581580.1	-	GT4(226-374)	GT4_e110(226-374)	GT4	3	GT4_e110
WP_278581599.1	3.2.1.89:3	GH53(47-331)	GH53_e22(48-327)	GH53	3	GH53_e22
WP_278581604.1	-	GH85(109-417)	GH85_e9(116-417)	GH85	3	GH85_e9
WP_278581606.1	-	GH85(118-427)	GH85_e9(118-428)	GH85	3	GH85_e9
WP_278581618.1	-	-	-	GH28	1	-
WP_278581632.1	3.2.1.-:4	GH125(75-475)	GH125_e1(76-475)	GH125	3	GH125_e1
WP_278581642.1	-	-	-	GH5_11	1	-
WP_278581647.1	-	GH18(132-414)	GH18_e340(133-414)	CE4+GH18+GT2	3	GH18_e340
