Subfam Name	Subfam Composition	Subfam EC	Substrate	HMM Length	Target Name	Target Length	i-Evalue	HMM From	HMM To	Target From	Target To	Coverage	HMM File Name
GH73_e88	GH73:188|CBM50:180		-	129	WP_004351808.1	317	5.1717654030795894e-59	1	129	39	166	1.0	dbCAN-sub
GT4_e1535	GT4:69		-	146	WP_004353191.1	424	1.1408409220114631e-68	2	145	241	384	0.9863013698630136	dbCAN-sub
GT2			-	162	WP_004353437.1	317	3.1160936308375664e-80	1	162	5	168	1.0	dbCAN-sub
GH33_e126	GH33:36		-	364	WP_004353576.1	448	1.3671820521790683e-187	1	363	40	406	0.9972527472527472	dbCAN-sub
GH133_e1	GH133:236		-	351	WP_004354251.1	647	6.768403783155191e-169	1	351	289	638	1.0	dbCAN-sub
GH25_e135	GH25:57		-	173	WP_004354679.1	235	1.3845072521418983e-88	1	173	38	212	1.0	dbCAN-sub
CE11_e18	CE11:339		-	269	WP_013670309.1	462	2.0484805777457e-126	1	268	7	298	0.9962825278810408	dbCAN-sub
GH97_e22	GH97:651	3.2.1.3:2|3.2.1.20:2	alpha-glucan	689	WP_013670856.1	712	0.0	4	689	16	710	0.995645863570392	dbCAN-sub
GH37_e5	GH37:18		-	405	WP_013671073.1	446	1.9203189708272644e-197	3	404	31	436	0.9925925925925926	dbCAN-sub
GT51_e160	GT51:316		-	185	WP_013672091.1	767	3.7756037069863634e-86	2	185	59	240	0.9945945945945946	dbCAN-sub
CE4_e54	CE4:19|CBM50:1		-	122	WP_025067044.1	259	3.976659551844313e-19	19	103	33	110	0.6967213114754098	dbCAN-sub
GT51_e158	GT51:844		-	164	WP_025067274.1	229	1.8672391534878587e-77	1	163	56	219	0.9939024390243902	dbCAN-sub
CE4_e140	CE4:231		-	111	WP_029216393.1	211	1.1980926034120992e-48	3	110	25	132	0.972972972972973	dbCAN-sub
GT2			-	166	WP_036853468.1	314	7.2669291967684e-90	2	166	9	174	0.993975903614458	dbCAN-sub
GT4_e602	GT4:97		-	147	WP_036856154.1	422	6.978557039506602e-72	1	144	244	387	0.979591836734694	dbCAN-sub
GH13_e54	GH13_44:44|GH13:1		-	342	WP_036856713.1	581	1.6378800479105295e-164	1	342	52	419	1.0	dbCAN-sub
GT2			-	110	WP_036856831.1	290	8.936523549199045e-61	1	110	31	140	1.0	dbCAN-sub
GH109_e7	GH109:31		-	390	WP_036876665.1	327	1.1191303446077336e-17	26	182	29	185	0.4025641025641026	dbCAN-sub
GH43_e310	GH43_3:45	3.2.1.146:1	beta-galactan	288	WP_036876783.1	342	1.2503226485770118e-151	1	288	36	323	1.0	dbCAN-sub
GT2			-	136	WP_118866375.1	259	7.971770383076681e-67	1	136	6	143	1.0	dbCAN-sub
GH25_e217	GH25:153		-	177	WP_118866826.1	296	1.944193033430512e-84	1	176	68	243	0.9943502824858758	dbCAN-sub
GH25_e21	GH25:30		-	175	WP_211796564.1	236	1.1075948388152715e-92	1	174	43	216	0.9942857142857144	dbCAN-sub
GH92_e0	GH92:2578|GH43_34:10|GH88:7|GH20:2|GH125:2|CBM32:1|CBM6:1|CBM57:1	3.2.1.-:8|3.2.1.113:1|3.2.1.114:1|3.2.1.24:1	host glycan	494	WP_219441669.1	716	1.7434890806174193e-213	11	494	223	706	0.979757085020243	dbCAN-sub
CBM32_e196	CBM32:8		host glycan	122	WP_270536753.1	256	4.0007204798021717e-78	1	122	129	250	1.0	dbCAN-sub
GH32_e16	GH32:1098|CBM66:301|CBM38:114	3.2.1.80:10|3.2.1.65:10|3.2.1.26:7|3.2.1.153:5|3.2.1.64:3|2.4.1.99:3	fructan	316	WP_278580844.1	562	5.383769285373246e-131	4	312	135	430	0.9778481012658228	dbCAN-sub
GH32_e129	GH32:35	3.2.1.65:1	fructan	300	WP_278580846.1	531	7.646625536919325e-183	1	300	52	351	1.0	dbCAN-sub
GH32_e88	GH32:6		-	316	WP_278580870.1	533	4.300070290171929e-177	1	316	28	325	1.0	dbCAN-sub
GT2			-	132	WP_278580900.1	1249	6.410791547039585e-69	1	132	254	384	1.0	dbCAN-sub
GT4_e2089	GT4:84		-	145	WP_278580916.1	380	1.6582378676287565e-57	1	139	206	344	0.9586206896551724	dbCAN-sub
GT9_e65	GT9:196		-	249	WP_278580937.1	357	9.799686888463404e-111	1	249	75	327	1.0	dbCAN-sub
CBM50_e27	CBM50:203|GH23:1		chitin;peptidoglycan	43	WP_278580984.1	334	3.3328612051135004e-18	1	42	291	332	0.9767441860465116	dbCAN-sub
GH13_e95	GH13_14:318|CBM48:209|CBM41:64|CBM68:5|GH13:2|GH133:1	3.2.1.-:2|3.2.1.68:1|3.2.1.41:1	alpha-glucan	310	WP_278580997.1	637	4.3638796736543756e-133	1	310	171	497	1.0	dbCAN-sub
CBM20_e2	CBM20:404|GH77:401	2.4.1.25:4	alpha-glucan	93	WP_278580998.1	897	5.498154459202166e-16	3	89	2	88	0.935483870967742	dbCAN-sub
CBM20_e2	CBM20:404|GH77:401	2.4.1.25:4	alpha-glucan	93	WP_278580998.1	897	3.050764822264193e-18	3	89	133	221	0.935483870967742	dbCAN-sub
GH77_e22	GH77:485|CBM20:400	2.4.1.25:5	alpha-glucan	646	WP_278580998.1	897	1.3586586232681952e-299	1	645	249	892	0.9984520123839008	dbCAN-sub
GH13_e218	GH13:18		-	278	WP_278581000.1	824	3.725170061061997e-123	2	278	60	327	0.9964028776978416	dbCAN-sub
GT2			-	167	WP_278581022.1	248	2.2873634959536577e-85	1	167	8	175	1.0	dbCAN-sub
GT51_e17	GT51:62		-	188	WP_278581069.1	842	5.196630705202524e-105	2	188	88	274	0.9946808510638298	dbCAN-sub
GH13_e54	GH13_44:44|GH13:1		-	342	WP_278581112.1	574	8.677960131232226e-161	1	340	50	408	0.9941520467836256	dbCAN-sub
GH29_e70	GH29:194	3.2.1.51:58	host glycan	340	WP_278581124.1	460	5.753594127482183e-150	6	339	27	369	0.9823529411764704	dbCAN-sub
GH97_e1	GH97:229	3.2.1.22:1	alpha-glucan	639	WP_278581129.1	815	4.031875656251951e-253	6	638	4	632	0.9906103286384976	dbCAN-sub
GH57_e10	GH57:204		-	319	WP_278581215.1	481	4.5483794101914916e-166	1	319	7	325	1.0	dbCAN-sub
CBM32_e72	CBM32:15|PL8:13|CBM5:8|GH26:1		host glycan	115	WP_278581241.1	873	6.023910886299794e-21	3	115	24	137	0.982608695652174	dbCAN-sub
GH92_e37	GH92:11|CBM32:1		-	480	WP_278581241.1	873	6.668214874788064e-271	1	477	394	872	0.99375	dbCAN-sub
GH92_e6	GH92:11		-	490	WP_278581242.1	754	0.0	1	490	250	739	1.0	dbCAN-sub
GH13_e218	GH13:18		-	278	WP_278581264.1	671	9.434849537696296e-151	1	278	62	341	1.0	dbCAN-sub
CBM50_e800	CBM50:46		chitin;peptidoglycan	46	WP_278581275.1	460	2.228883915738461e-30	1	46	32	77	1.0	dbCAN-sub
GT2			-	250	WP_278581320.1	285	2.7601671793329776e-37	2	248	12	255	0.988	dbCAN-sub
GT4_e3415	GT4:13		-	144	WP_278581322.1	392	1.322373568290326e-46	1	128	212	342	0.8888888888888888	dbCAN-sub
GT26_e51	GT26:27		-	168	WP_278581324.1	238	1.0560957103451406e-90	1	168	48	215	1.0	dbCAN-sub
GT5_e28	GT5:878		-	225	WP_278581340.1	254	1.8894769004481774e-96	13	224	2	215	0.9422222222222222	dbCAN-sub
GH16_e129	GH16:10		-	202	WP_278581341.1	246	3.5547324013475034e-91	1	202	37	242	1.0	dbCAN-sub
CE4_e238	CE4:254|GH18:149|GT2:149		-	115	WP_278581375.1	710	6.918103531974123e-45	2	107	76	181	0.9217391304347826	dbCAN-sub
GT2			-	222	WP_278581375.1	710	3.125563189100941e-108	1	222	356	580	1.0	dbCAN-sub
GH2_e30	GH2:674|CBM51:7|CBM67:1		-	866	WP_278581390.1	1019	0.0	5	866	58	904	0.9953810623556582	dbCAN-sub
GT2			-	314	WP_278581479.1	346	6.414676512260338e-137	2	294	4	298	0.9331210191082804	dbCAN-sub
GH29_e63	GH29:296|CBM13:1	3.2.1.63:1|3.2.1.51:1	host glycan	336	WP_278581503.1	433	2.431563991808996e-169	2	336	19	352	0.9970238095238096	dbCAN-sub
GT4_e2325	GT4:14		-	149	WP_278581578.1	387	1.9982150529869703e-65	1	148	212	360	0.9932885906040269	dbCAN-sub
GT4_e110	GT4:6		-	142	WP_278581580.1	418	6.972280062518906e-67	2	140	226	374	0.9788732394366196	dbCAN-sub
GH53_e22	GH53:425|CBM61:12|GH35:1|CBM13:1|CBM10:1|CBM60:1|CBM32:1	3.2.1.89:3	arabinogalactan	284	WP_278581599.1	349	1.8217812856681729e-116	1	282	48	327	0.9929577464788732	dbCAN-sub
GH85_e9	GH85:41		-	311	WP_278581604.1	1057	7.133526551597771e-126	3	311	116	417	0.9935691318327974	dbCAN-sub
GH85_e9	GH85:41		-	311	WP_278581606.1	1037	4.145104912892583e-141	3	311	118	428	0.9935691318327974	dbCAN-sub
GH125_e1	GH125:855|GH92:2	3.2.1.-:4	-	401	WP_278581632.1	490	2.8895632183849108e-216	2	400	76	475	0.9950124688279302	dbCAN-sub
GH18_e340	GH18:436|CE4:401|GT2:398|CBM50:1		-	281	WP_278581647.1	424	9.064898053505214e-112	2	281	133	414	0.99644128113879	dbCAN-sub
GT19_e2	GT19:889		-	349	WP_278581671.1	386	6.313253197846767e-150	1	349	5	360	1.0	dbCAN-sub
GT2			-	277	WP_278581700.1	404	1.6407142383630983e-40	1	232	73	300	0.8375451263537906	dbCAN-sub
GH95_e0	GH95:552|CBM51:45|CBM32:26|CBM13:1|CBM47:1	3.2.1.63:5|3.2.1.51:1	beta-fucosides;host glycan	726	WP_278581706.1	836	1.2292011321834444e-205	91	722	126	796	0.8705234159779615	dbCAN-sub
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan	351	WP_278581744.1	538	3.957145377874218e-155	2	349	146	501	0.9914529914529916	dbCAN-sub
GT2			-	141	WP_278581759.1	252	1.0194728114907097e-58	1	136	5	141	0.9645390070921984	dbCAN-sub
GT2			-	139	WP_278581778.1	295	5.358330812715244e-69	1	139	4	141	1.0	dbCAN-sub
GH31_e46	GH31:130	3.2.1.22:1	alpha-galactan	390	WP_278581797.1	533	1.2778487422748117e-181	1	388	144	529	0.9948717948717948	dbCAN-sub
GH84_e9	GH84:335|CBM32:3	3.2.1.169:1	host glycan	294	WP_278581800.1	863	1.1593829740229405e-149	1	293	187	480	0.9965986394557824	dbCAN-sub
