system number	system name	functional unit name	subsystem number	gene family	partition	annotation	secondary_names	gene.ID	gene.name	contig	start	stop	strand	is_fragment	category	genomic organization	completeness	product	overlapping_units
2	SusCD_model	PUL	1	GCA_024791005.1_CDS_5653	shell			GCA_949053485.1_CDS_2218		CARRCB010000012.1	114007	115536	+	False	context	split	0.81		
2	SusCD_model	PUL	1	GCA_022718855.1_CDS_0233	shell	STP		GCA_949053485.1_CDS_2219		CARRCB010000012.1	115709	117211	+	False	model	split	0.81		
2	SusCD_model	PUL	1	GCA_000273195.1_CDS_0700	shell	TF		GCA_949053485.1_CDS_2220		CARRCB010000012.1	117208	118053	-	False	model	split	0.81		
2	SusCD_model	PUL	6	GCA_024791665.1_CDS_2467	persistent	STP		GCA_949053485.1_CDS_3483		CARRCB010000024.1	11775	12803	-	False	model	split	0.81		
2	SusCD_model	PUL	1	GCF_022716715.1_CDS_3068	shell	GH43		GCA_949053485.1_CDS_2221		CARRCB010000012.1	118268	122467	-	False	model	split	0.81		
2	SusCD_model	PUL	1	GCF_023668595.1_CDS_0410	shell			GCA_949053485.1_CDS_2222		CARRCB010000012.1	122670	125369	-	False	context	split	0.81		
2	SusCD_model	PUL	1	GCA_021204065.1_CDS_0378	shell	STP		GCA_949053485.1_CDS_2223		CARRCB010000012.1	125586	128018	+	False	model	split	0.81		
2	SusCD_model	PUL	1	GCA_000436435.1_CDS_2244	shell			GCA_949053485.1_CDS_2224		CARRCB010000012.1	128512	129402	-	False	filtered	split	0.81		
2	SusCD_model	PUL	6	GCF_000154125.1_CDS_4623	persistent	STP		GCA_949053485.1_CDS_3484		CARRCB010000024.1	12881	13468	-	False	model	split	0.81		
2	SusCD_model	PUL	6	GCA_024790715.1_CDS_5995	persistent			GCA_949053485.1_CDS_3485		CARRCB010000024.1	13568	15004	-	False	context	split	0.81		
2	SusCD_model	PUL	6	GCA_000273195.1_CDS_0441	persistent	STP		GCA_949053485.1_CDS_3486		CARRCB010000024.1	15063	15791	-	False	model	split	0.81		
2	SusCD_model	PUL	6	GCA_958450655.1_CDS_2573	persistent	TF		GCA_949053485.1_CDS_3487		CARRCB010000024.1	15826	20145	-	False	model	split	0.81		
