PUL_ID,Gene_Name,Locus_Tag,Protein_ID,Protein_Link,Gene_Position,GenBank_Contig,Contig_Link,EC_Number
PUL0003,xynC,BSU_18150,NP_389697.1,https://www.ncbi.nlm.nih.gov/protein/NP_389697.1,0 - 1269 (-),NC_000964.3,https://www.ncbi.nlm.nih.gov/nuccore/NC_000964.3,3.2.1.136
PUL0003,xynD,BSU_18160,NP_389698.1,https://www.ncbi.nlm.nih.gov/protein/NP_389698.1,1399 - 2941 (-),NC_000964.3,https://www.ncbi.nlm.nih.gov/nuccore/NC_000964.3,3.2.1.55
PUL0010,-,GTNG_RS09205,WP_008880081.1,https://www.ncbi.nlm.nih.gov/protein/WP_008880081.1,2950 - 4558 (-),NC_009328.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_009328.1,-
PUL0010,-,GTNG_RS09205,WP_008880081.1,https://www.ncbi.nlm.nih.gov/protein/WP_008880081.1,2950 - 4558 (-),NC_009328.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_009328.1,-
PUL0010,-,GTNG_RS09205,WP_008880081.1,https://www.ncbi.nlm.nih.gov/protein/WP_008880081.1,2950 - 4558 (-),NC_009328.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_009328.1,-
PUL0010,-,GTNG_RS09220,WP_008880078.1,https://www.ncbi.nlm.nih.gov/protein/WP_008880078.1,6999 - 8223 (+),NC_009328.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_009328.1,-
PUL0010,-,GTNG_RS09225,WP_008880077.1,https://www.ncbi.nlm.nih.gov/protein/WP_008880077.1,8426 - 9068 (-),NC_009328.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_009328.1,-
PUL0010,-,GTNG_RS09225,WP_008880077.1,https://www.ncbi.nlm.nih.gov/protein/WP_008880077.1,8426 - 9068 (-),NC_009328.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_009328.1,-
PUL0010,-,GTNG_RS09225,WP_008880077.1,https://www.ncbi.nlm.nih.gov/protein/WP_008880077.1,8426 - 9068 (-),NC_009328.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_009328.1,-
PUL0010,-,GTNG_RS09225,WP_008880077.1,https://www.ncbi.nlm.nih.gov/protein/WP_008880077.1,8426 - 9068 (-),NC_009328.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_009328.1,-
PUL0010,-,GTNG_RS09245,WP_011887511.1,https://www.ncbi.nlm.nih.gov/protein/WP_011887511.1,12549 - 13248 (-),NC_009328.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_009328.1,-
PUL0010,-,GTNG_RS09245,WP_011887511.1,https://www.ncbi.nlm.nih.gov/protein/WP_011887511.1,12549 - 13248 (-),NC_009328.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_009328.1,-
PUL0010,-,GTNG_RS09255,WP_008880071.1,https://www.ncbi.nlm.nih.gov/protein/WP_008880071.1,14033 - 14987 (-),NC_009328.1,https://www.ncbi.nlm.nih.gov/nuccore/NC_009328.1,-
