CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Gene Strand	Gene Annotation
CGC1	CAZyme	NC_004663.1	WP_055235382.1	40584	41537	+	CAZyme|GT2
CGC1	null	NC_004663.1	WP_009039960.1	41534	42700	+	null
CGC1	CAZyme	NC_004663.1	WP_011107074.1	42724	43656	+	CAZyme|GT2
CGC1	CAZyme	NC_004663.1	WP_011107075.1	43671	44066	+	CAZyme|GT2
CGC1	null	NC_004663.1	WP_011107076.1	44162	44638	+	null
CGC1	CAZyme	NC_004663.1	WP_011107077.1	44647	45582	+	CAZyme|GT101_e12
CGC1	CAZyme	NC_004663.1	WP_225011882.1	45585	46565	+	CAZyme|GT2+TC|4.D.1.1.15
CGC1	CAZyme	NC_004663.1	WP_009039956.1	46565	47545	+	CAZyme|GT2
CGC1	CAZyme	NC_004663.1	WP_225011881.1	47542	48834	+	CAZyme|GT129
CGC1	CAZyme	NC_004663.1	WP_009039954.1	48834	49958	+	CAZyme|GT4_e408
CGC1	CAZyme	NC_004663.1	WP_009039953.1	50011	51132	+	CAZyme|GT4_e161
CGC1	CAZyme	NC_004663.1	WP_009039952.1	51140	52255	+	CAZyme|GT4_e3479
CGC1	TC	NC_004663.1	WP_009039951.1	52276	53298	+	TC|9.B.146.1.7
CGC2	TC	NC_004663.1	WP_008766748.1	112706	113182	-	TC|3.D.1.5.1
CGC2	STP	NC_004663.1	WP_008766747.1	113201	114967	-	STP|Fer4
CGC2	TC	NC_004663.1	WP_008766746.1	114979	116886	-	TC|3.D.1.5.1+STP|Fer4
CGC2	CAZyme	NC_004663.1	WP_011107129.1	117467	120223	+	CAZyme|PL40_e1
CGC2	CAZyme	NC_004663.1	WP_008766744.1	120368	123661	+	CAZyme|GH28_e12|CBM6_e73
CGC3	CAZyme	NC_004663.1	WP_011107138.1	149679	150899	+	CAZyme|GH88_e24+SULFATLAS|S1_27
CGC3	null	NC_004663.1	WP_008760465.1	150999	151475	-	null
CGC3	TC	NC_004663.1	WP_011107140.1	151535	152824	-	TC|1.A.112.2.3
CGC3	PEPTIDASE	NC_004663.1	WP_011107141.1	153042	153824	-	PEPTIDASE|M48.UPC
CGC3	TC	NC_004663.1	WP_011107142.1	153863	156241	-	TC|1.B.14.6.5
CGC3	null	NC_004663.1	WP_008760469.1	156339	156773	+	null
CGC3	CAZyme	NC_004663.1	WP_008760470.1	156800	157618	+	CAZyme|CE1_e22+PEPTIDASE|S09.UPW
CGC4	TC	NC_004663.1	WP_008766719.1	166150	167325	-	TC|2.A.1.36.3
CGC4	CAZyme	NC_004663.1	WP_011107146.1	167345	169663	-	CAZyme|GT51_e13
CGC5	TC	NC_004663.1	WP_008760499.1	191106	192656	+	TC|2.A.21.2.4
CGC5	CAZyme	NC_004663.1	WP_011107154.1	192751	194139	-	CAZyme|GH23_e996
CGC6	CAZyme	NC_004663.1	WP_008760550.1	276813	277556	-	CAZyme|GT2+TC|9.B.27.2.12
CGC6	TC	NC_004663.1	WP_008766199.1	277801	281184	+	TC|3.A.11.1.5
CGC7	CAZyme	NC_004663.1	WP_225011857.1	293200	294711	+	CAZyme|PL27_e0
CGC7	CAZyme	NC_004663.1	WP_008766191.1	294837	296585	-	CAZyme|GH43_24|CBM32_e51
CGC7	CAZyme	NC_004663.1	WP_008766190.1	296627	298108	-	CAZyme|GH43_24+SULFATLAS|S1_6
CGC7	null	NC_004663.1	WP_008766189.1	298121	299581	-	null
CGC7	TC	NC_004663.1	WP_172461657.1	299930	303976	+	TC|9.B.238.3.1+TF|HTH_AraC+STP|Y_Y_Y+STP|HisKA+STP|HATPase_c+STP|Response_reg+STP|HTH_18
CGC7	TC	NC_004663.1	WP_008766187.1	304251	307184	+	TC|1.B.14.6.17
CGC8	TC	NC_004663.1	WP_008766170.1	334208	336898	-	TC|1.C.105.2.12
CGC8	CAZyme	NC_004663.1	WP_008766169.1	337216	339555	+	CAZyme|GH35_e43|CBM32_e42+SULFATLAS|S1_20
CGC9	TC	NC_004663.1	WP_008766159.1	362872	364107	+	TC|2.A.6.2.29
CGC9	TC	NC_004663.1	WP_008766158.1	364111	367215	+	TC|2.A.6.2.22
